episode,reward,score,steps,epsilon,loss_mean,ma100_reward
256,-0.08,1,10,0.2785,0.020547,1.532
257,-0.11,1,13,0.2771,0.016708,1.5316
258,0.87,2,16,0.2758,0.019337,1.4916
259,0.75,2,28,0.2744,0.017403,1.4898
260,10.21,12,92,0.273,0.020327,1.603
261,3.67,5,39,0.2716,0.019847,1.5746
262,5.49,7,59,0.2703,0.019694,1.6401
263,-0.1,1,12,0.2689,0.01934,1.6223
264,1.64,3,40,0.2676,0.020029,1.6227
265,-0.03,1,5,0.2663,0.021158,1.5948
266,1.61,3,43,0.2649,0.019148,1.6043
267,0.85,2,18,0.2636,0.018782,1.6238
268,0.66,2,37,0.2623,0.01809,1.6242
269,1.93,3,11,0.261,0.016463,1.6377
270,4.72,6,35,0.2597,0.020505,1.6863
271,-1.11,0,12,0.2584,0.018231,1.6661
272,-0.06,1,8,0.2571,0.018912,1.6759
273,0.72,2,31,0.2558,0.019395,1.6389
274,5.58,7,50,0.2545,0.019509,1.6956
275,0.85,2,18,0.2532,0.018663,1.7054
276,0.89,2,14,0.252,0.022786,1.7155
277,-0.07,1,9,0.2507,0.023248,1.6807
278,0.77,2,26,0.2495,0.019907,1.674
279,2.62,4,43,0.2482,0.020062,1.7012
280,5.42,7,66,0.247,0.018908,1.7413
281,-0.18,1,20,0.2457,0.019473,1.7058
282,4.25,6,82,0.2445,0.019046,1.7588
283,7.21,9,89,0.2433,0.019975,1.8422
284,-0.1,1,12,0.2421,0.018018,1.8518
285,-0.03,1,5,0.2409,0.016635,1.8174
286,1.91,3,13,0.2397,0.01997,1.8218
287,-0.09,1,11,0.2385,0.019602,1.8033
288,0.87,2,16,0.2373,0.019497,1.8131
289,-0.09,1,11,0.2361,0.015739,1.7966
290,-0.08,1,10,0.2349,0.019359,1.8086
291,3.78,5,28,0.2337,0.018575,1.847
292,3.54,5,52,0.2326,0.019637,1.8745
293,-1.04,0,5,0.2314,0.021498,1.8473
294,15.11,18,208,0.2302,0.018656,2.0015
295,-0.15,1,17,0.2291,0.019858,2.0014
296,2.68,4,37,0.2279,0.017867,1.9447
297,3.64,5,42,0.2268,0.018009,1.9549
298,6.48,8,61,0.2257,0.018429,2.0208
299,6.25,8,84,0.2245,0.018219,2.0483
300,1.73,3,31,0.2234,0.017265,2.0405
301,-0.09,1,11,0.2223,0.019187,2.0234
302,-0.07,1,9,0.2212,0.020297,2.0244
303,2.71,4,34,0.2201,0.022574,2.033
304,3.67,5,39,0.219,0.020387,2.0522
305,2.52,4,53,0.2179,0.021074,2.0585
306,-0.08,1,10,0.2168,0.018672,2.0685
307,7.19,9,91,0.2157,0.020214,2.0965
308,1.77,3,27,0.2146,0.019627,2.1076
309,-1.06,0,7,0.2136,0.02529,2.089
310,1.72,3,32,0.2125,0.021279,2.0616
311,-0.12,1,14,0.2114,0.019972,2.071
312,9.91,12,122,0.2104,0.021405,2.1706
313,6.59,8,50,0.2093,0.020948,2.2302
314,3.68,5,38,0.2083,0.021767,2.258
315,2.72,4,33,0.2072,0.020998,2.268
316,8.88,11,124,0.2062,0.019534,2.3391
317,3.54,5,52,0.2052,0.022172,2.3753
318,1.9,3,14,0.2041,0.019154,2.3673
319,-0.1,1,12,0.2031,0.019277,2.3589
320,6.28,8,81,0.2021,0.020516,2.4223
321,2.75,4,30,0.2011,0.019253,2.4238
322,8.21,10,90,0.2001,0.02038,2.4686
323,-0.04,1,6,0.1991,0.017942,2.4129
324,-0.06,1,8,0.1981,0.019164,2.4129
325,-0.12,1,14,0.1971,0.017206,2.4223
326,8.16,10,95,0.1961,0.023842,2.4779
327,8.38,10,73,0.1951,0.025271,2.5278
328,4.47,6,60,0.1942,0.024499,2.5641
329,5.38,7,70,0.1932,0.023876,2.6091
330,-0.1,1,12,0.1922,0.027116,2.5902
331,2.54,4,51,0.1913,0.023696,2.6083
332,0.96,2,7,0.1903,0.023915,2.5713
333,-0.05,1,7,0.1893,0.027616,2.526
334,2.67,4,38,0.1884,0.023211,2.5069
335,5.59,7,49,0.1875,0.02395,2.5255
336,2.78,4,27,0.1865,0.028584,2.5344
337,-0.05,1,7,0.1856,0.024839,2.516
338,3.6,5,46,0.1847,0.028004,2.5335
339,6.5,8,59,0.1837,0.021614,2.5613
340,0.8,2,23,0.1828,0.024537,2.5046
341,1.83,3,21,0.1819,0.021507,2.5252
342,4.68,6,39,0.181,0.025046,2.5726
343,1.71,3,33,0.1801,0.023406,2.5721
344,3.58,5,48,0.1792,0.024263,2.6091
345,1.79,3,25,0.1783,0.023327,2.6379
346,-0.08,1,10,0.1774,0.021946,2.6288
347,8.2,10,91,0.1765,0.023193,2.7141
348,-1.07,0,8,0.1756,0.018021,2.7045
349,3.65,5,41,0.1748,0.024125,2.7134
350,1.72,3,32,0.1739,0.022914,2.714
351,10.1,12,103,0.173,0.023104,2.817
352,6.66,8,43,0.1721,0.020715,2.7914
353,4.67,6,40,0.1713,0.019888,2.8391
354,5.57,7,51,0.1704,0.019103,2.8206
355,-0.13,1,15,0.1696,0.017377,2.8019
356,2.69,4,36,0.1687,0.020065,2.8296
357,5.46,7,62,0.1679,0.023319,2.8853
358,1.76,3,28,0.167,0.01933,2.8942
359,0.84,2,19,0.1662,0.020582,2.8951
360,9.17,11,95,0.1654,0.022105,2.8847
361,2.82,4,23,0.1646,0.02099,2.8762
362,4.61,6,46,0.1637,0.023098,2.8674
363,10.27,12,86,0.1629,0.02563,2.9711
364,1.71,3,33,0.1621,0.022617,2.9718
365,1.8,3,24,0.1613,0.023389,2.9901
366,2.77,4,28,0.1605,0.022352,3.0017
367,14.83,17,135,0.1597,0.026254,3.1415
368,13.1,15,106,0.1589,0.025061,3.2659
369,-0.14,1,16,0.1581,0.026079,3.2452
370,7.04,9,106,0.1573,0.026357,3.2684
371,2.91,4,14,0.1565,0.025984,3.3086
372,6.38,8,71,0.1557,0.024784,3.373
373,3.57,5,49,0.1549,0.026142,3.4015
374,1.75,3,29,0.1542,0.020183,3.3632
375,2.72,4,33,0.1534,0.023013,3.3819
376,4.63,6,44,0.1526,0.0251,3.4193
377,1.89,3,15,0.1519,0.023475,3.4389
378,1.73,3,31,0.1511,0.021539,3.4485
379,0.89,2,14,0.1504,0.028906,3.4312
380,11.01,13,113,0.1496,0.022972,3.4871
381,4.61,6,46,0.1489,0.026104,3.535
382,-0.13,1,15,0.1481,0.02234,3.4912
383,6.49,8,60,0.1474,0.024149,3.484
384,6.26,8,83,0.1466,0.024694,3.5476
385,3.52,5,54,0.1459,0.026931,3.5831
386,6.54,8,55,0.1452,0.021672,3.6294
387,16.54,19,166,0.1444,0.0238,3.7957
388,-0.08,1,10,0.1437,0.021767,3.7862
389,0.75,2,28,0.143,0.021197,3.7946
390,3.54,5,52,0.1423,0.024744,3.8308
391,6.27,8,82,0.1416,0.028495,3.8557
392,3.75,5,31,0.1409,0.025153,3.8578
393,5.54,7,54,0.1402,0.02907,3.9236
394,13.81,16,136,0.1395,0.026645,3.9106
395,5.27,7,81,0.1388,0.02767,3.9648
396,4.47,6,60,0.1381,0.028661,3.9827
397,3.72,5,34,0.1374,0.02114,3.9835
398,10.28,12,85,0.1367,0.025704,4.0215
399,2.72,4,33,0.136,0.026359,3.9862
400,4.48,6,59,0.1353,0.02435,4.0137
401,6.58,8,51,0.1347,0.025024,4.0804
402,0.84,2,19,0.134,0.023601,4.0895
403,8.34,10,77,0.1333,0.027047,4.1458
404,7.31,9,79,0.1326,0.02724,4.1822
405,-0.02,1,4,0.132,0.023932,4.1568
406,6.49,8,60,0.1313,0.03024,4.2225
407,9.94,12,119,0.1307,0.027281,4.25
408,9.22,11,90,0.13,0.02546,4.3245
409,8.9,11,122,0.1294,0.024481,4.4241
410,13.89,16,128,0.1287,0.022543,4.5458
411,0.84,2,19,0.1281,0.025297,4.5554
412,15.85,18,134,0.1274,0.030543,4.6148
413,1.91,3,13,0.1268,0.035381,4.568
414,-0.12,1,14,0.1262,0.028163,4.53
415,7.53,9,57,0.1255,0.026095,4.5781
416,7.4,9,70,0.1249,0.028954,4.5633
417,10.79,13,135,0.1243,0.029343,4.6358
418,-0.08,1,10,0.1237,0.023713,4.616
419,7.58,9,52,0.123,0.027629,4.6928
420,5.6,7,48,0.1224,0.028586,4.686
421,2.69,4,36,0.1218,0.025169,4.6854
422,2.69,4,36,0.1212,0.024904,4.6302
423,8.24,10,87,0.1206,0.027162,4.713
424,7.57,9,53,0.12,0.027879,4.7893
425,6.37,8,72,0.1194,0.030918,4.8542
426,8.08,10,103,0.1188,0.028907,4.8534
427,8.43,10,68,0.1182,0.032532,4.8539
428,12.88,15,128,0.1176,0.028894,4.938
429,3.69,5,37,0.117,0.029903,4.9211
430,4.73,6,34,0.1164,0.025597,4.9694
431,11.06,13,108,0.1159,0.027087,5.0546
432,0.83,2,20,0.1153,0.024101,5.0533
433,0.86,2,17,0.1147,0.023845,5.0624
434,-0.03,1,5,0.1141,0.022627,5.0354
435,0.88,2,15,0.1136,0.027535,4.9883
436,4.64,6,43,0.113,0.028389,5.0069
437,12.99,15,117,0.1124,0.030261,5.1373
438,11.16,13,98,0.1119,0.030378,5.2129
439,4.58,6,49,0.1113,0.02848,5.1937
440,1.71,3,33,0.1107,0.031863,5.2028
441,-1.05,0,6,0.1102,0.030278,5.174
442,1.57,3,47,0.1096,0.026141,5.1429
443,2.63,4,42,0.1091,0.029876,5.1521
444,10.07,12,106,0.1085,0.027213,5.217
445,7.55,9,55,0.108,0.02302,5.2746
446,0.82,2,21,0.1075,0.026966,5.2836
447,4.69,6,38,0.1069,0.0254,5.2485
448,12.77,15,139,0.1064,0.03187,5.3869
449,3.54,5,52,0.1059,0.031962,5.3858
450,4.64,6,43,0.1053,0.033925,5.415
451,9.34,11,78,0.1048,0.029372,5.4074
452,13.99,16,118,0.1043,0.030217,5.4807
453,2.84,4,21,0.1038,0.02738,5.4624
454,12.1,14,105,0.1032,0.029467,5.5277
455,7.36,9,74,0.1027,0.025574,5.6026
456,6.39,8,70,0.1022,0.03183,5.6396
457,0.73,2,30,0.1017,0.026133,5.5923
458,4.69,6,38,0.1012,0.024813,5.6216
459,9.34,11,78,0.1007,0.032244,5.7066
460,7.17,9,93,0.1002,0.029839,5.6866
461,15.08,17,110,0.0997,0.031224,5.8092
462,4.5,6,57,0.0992,0.033099,5.8081
463,3.59,5,47,0.0987,0.03135,5.7413
464,5.55,7,53,0.0982,0.031158,5.7797
465,0.83,2,20,0.0977,0.030053,5.77
466,4.6,6,47,0.0972,0.033455,5.7883
467,1.65,3,39,0.0967,0.031603,5.6565
468,6.32,8,77,0.0962,0.03004,5.5887
469,9.38,11,74,0.0958,0.03019,5.6839
470,10.13,12,100,0.0953,0.031424,5.7148
471,9.35,11,77,0.0948,0.032561,5.7792
472,4.61,6,46,0.0943,0.032653,5.7615
473,10.35,12,78,0.0939,0.027518,5.8293
474,-0.06,1,8,0.0934,0.027957,5.8112
475,11.16,13,98,0.0929,0.025835,5.8956
476,5.45,7,63,0.0925,0.031794,5.9038
477,14.91,17,127,0.092,0.028507,6.034
478,16.73,19,147,0.0915,0.032148,6.184
479,14.03,16,114,0.0911,0.033438,6.3154
480,8.02,10,109,0.0906,0.031729,6.2855
481,9.76,12,137,0.0902,0.030454,6.337
482,3.64,5,42,0.0897,0.040015,6.3747
483,0.89,2,14,0.0893,0.036314,6.3187
484,2.7,4,35,0.0888,0.029162,6.2831
485,3.65,5,41,0.0884,0.027873,6.2844
486,-0.15,1,17,0.0879,0.034015,6.2175
487,-0.11,1,13,0.0875,0.025327,6.051
488,4.69,6,38,0.0871,0.030151,6.0987
489,17.89,20,132,0.0866,0.03252,6.2701
490,6.49,8,60,0.0862,0.035601,6.2996
491,1.75,3,29,0.0858,0.038645,6.2544
