episode,reward,score,steps,epsilon,loss_mean,ma100_reward
173,-1.9787,0,64,0.7087,0.039967,-1.3052
174,-1.0,0,1,0.7073,0.06418,-1.2925
175,-0.3505,0,63,0.7059,0.045916,-1.2614
176,-1.0,0,1,0.7044,0.018513,-1.2614
177,-1.1244,0,29,0.703,0.03677,-1.2505
178,-1.3558,0,22,0.7016,0.046027,-1.2535
179,0.6716,0,97,0.7002,0.046565,-1.2185
180,-1.3398,0,19,0.6988,0.068024,-1.2201
181,-1.2049,0,263,0.6974,0.042202,-1.2221
182,-0.8957,0,55,0.696,0.034969,-1.2318
183,-0.6155,0,28,0.6946,0.045735,-1.2122
184,-0.4219,0,157,0.6932,0.040547,-1.2077
185,-1.2626,0,105,0.6919,0.043953,-1.2026
186,-1.8493,0,48,0.6905,0.037008,-1.2171
187,-1.1002,0,4,0.6891,0.043389,-1.2172
188,-2.0611,0,22,0.6877,0.044207,-1.1931
189,0.2036,0,151,0.6863,0.040194,-1.1673
190,-0.4907,0,77,0.685,0.049825,-1.1599
191,-1.6107,0,66,0.6836,0.044833,-1.1645
192,-1.1963,0,11,0.6822,0.046446,-1.1703
193,-1.8318,0,40,0.6809,0.045774,-1.1776
194,0.6086,0,73,0.6795,0.047354,-1.1318
195,-0.4496,0,21,0.6781,0.047458,-1.1151
196,-1.4183,0,72,0.6768,0.047126,-1.1101
197,-2.1212,0,32,0.6754,0.043043,-1.1213
198,-1.131,0,185,0.6741,0.051175,-1.1132
199,-1.3156,0,57,0.6727,0.047699,-1.1226
200,0.0653,0,170,0.6714,0.050032,-1.1189
201,-1.0,0,1,0.6701,0.0301,-1.1167
202,-1.7803,0,216,0.6687,0.046418,-1.1245
203,0.7907,0,49,0.6674,0.059888,-1.1051
204,-1.5032,0,59,0.666,0.051377,-1.102
205,-1.8371,0,41,0.6647,0.046788,-1.0965
206,0.4025,0,77,0.6634,0.046593,-1.0773
207,-0.7621,0,209,0.6621,0.049403,-1.0755
208,-1.5648,0,88,0.6607,0.047846,-1.0842
209,0.0925,0,49,0.6594,0.052142,-1.0962
210,2.0565,1,171,0.6581,0.0546,-1.0643
211,-0.8912,0,35,0.6568,0.05411,-1.0705
212,0.007,0,47,0.6555,0.044096,-1.0604
213,-0.405,0,49,0.6541,0.04865,-1.0551
214,-1.1893,0,88,0.6528,0.052854,-1.0569
215,-1.1994,0,38,0.6515,0.056881,-1.0567
216,-2.3909,0,75,0.6502,0.053189,-1.0709
217,-1.0,0,1,0.6489,0.034329,-1.0818
218,-1.1556,0,84,0.6476,0.053107,-1.0832
219,-2.5845,0,204,0.6463,0.05656,-1.0811
220,-0.0209,0,95,0.645,0.058369,-1.0536
221,-2.9778,0,84,0.6438,0.056181,-1.081
222,-1.0,0,1,0.6425,0.029841,-1.0743
223,-3.2407,0,385,0.6412,0.051241,-1.0824
224,-1.0,0,1,0.6399,0.052978,-1.0725
225,-0.2434,0,24,0.6386,0.046128,-1.0633
226,0.6174,0,63,0.6373,0.065805,-1.0502
227,-1.6092,0,90,0.6361,0.061206,-1.0544
228,-2.3484,0,138,0.6348,0.054137,-1.0672
229,-0.6434,0,40,0.6335,0.056534,-1.0605
230,-0.1495,0,56,0.6323,0.04734,-1.0472
231,0.7941,0,53,0.631,0.055016,-1.0097
232,-1.8737,0,46,0.6297,0.057918,-1.0166
233,-1.5137,0,28,0.6285,0.055102,-1.0217
234,-1.7335,0,257,0.6272,0.060957,-1.0375
235,-1.3546,0,41,0.626,0.059622,-1.0303
236,-0.4143,0,31,0.6247,0.052011,-1.0209
237,-1.7626,0,76,0.6235,0.056226,-1.006
238,0.8504,0,139,0.6222,0.059471,-0.9875
239,-1.3729,0,43,0.621,0.068141,-0.9906
240,-0.6423,0,259,0.6197,0.055336,-0.9838
241,-1.05,0,6,0.6185,0.075254,-0.987
242,-1.0922,0,28,0.6172,0.05472,-0.9893
243,-1.115,0,30,0.616,0.07008,-0.9724
244,1.3406,0,47,0.6148,0.059736,-0.944
245,-0.7122,0,205,0.6136,0.063364,-0.937
246,-1.1568,0,12,0.6123,0.049556,-0.9384
247,-1.7177,0,67,0.6111,0.063387,-0.9533
248,-1.1529,0,12,0.6099,0.058117,-0.95
